"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.blogger.com","30,444,897","100"
"2","youtube.com","22,932,367","100"
"3","www.google.com","14,642,057","100"
"4","support.google.com","5,543,097","99"
"5","play.google.com","3,875,395","99"
"6","apple.com","6,568,098","99"
"7","linkedin.com","12,197,820","99"
"8","wordpress.org","12,120,893","98"
"9","en.wikipedia.org","7,015,748","98"
"10","cloudflare.com","6,800,625","98"
"11","microsoft.com","5,290,969","98"
"12","mozilla.org","2,453,638","98"
"13","docs.google.com","3,381,409","98"
"14","maps.google.com","5,929,604","98"
"15","youtu.be","5,218,913","98"
"16","adobe.com","2,861,208","97"
"17","googleusercontent.com","3,534,032","97"
"18","sites.google.com","2,259,728","97"
"19","bp.blogspot.com","18,027,262","97"
"20","accounts.google.com","2,537,372","97"
"21","europa.eu","2,281,269","97"
"22","plus.google.com","10,981,496","97"
"23","whatsapp.com","3,938,370","97"
"24","drive.google.com","2,480,950","97"
"25","vk.com","1,803,633","96"
"26","istockphoto.com","3,654,375","96"
"27","vimeo.com","3,561,377","96"
"28","github.com","2,914,267","96"
"29","policies.google.com","2,929,393","96"
"30","uol.com.br","688,320","96"
"31","amazon.com","5,005,945","96"
"32","facebook.com","59,074,345","96"
"33","feedburner.com","1,827,873","96"
"34","t.me","1,340,732","96"
"35","search.google.com","1,559,715","95"
"36","pt.wikipedia.org","420,977","95"
"37","jimdofree.com","1,713,753","95"
"38","fr.wikipedia.org","643,074","95"
"39","msn.com","1,102,066","95"
"40","opera.com","975,129","95"
"41","brandbucket.com","11,148,370","95"
"42","live.com","989,738","95"
"43","medium.com","1,777,941","95"
"44","creativecommons.org","1,741,647","95"
"45","bbc.co.uk","1,742,293","95"
"46","cnn.com","1,656,265","95"
"47","news.google.com","835,026","95"
"48","buydomains.com","1,187,857","95"
"49","wikimedia.org","2,075,603","95"
"50","who.int","2,025,370","95"
"51","nih.gov","1,489,507","95"
"52","tools.google.com","1,771,198","95"
"53","draft.blogger.com","11,349,654","95"
"54","netvibes.com","1,227,192","95"
"55","google.de","1,110,487","95"
"56","google.co.jp","656,691","95"
"57","gravatar.com","12,483,962","95"
"58","shopify.com","2,772,828","95"
"59","enable-javascript.com","9,410,940","95"
"60","paypal.com","1,150,408","95"
"61","imdb.com","1,530,770","95"
"62","forbes.com","1,444,462","95"
"63","google.com.br","298,108","95"
"64","www.weebly.com","5,528,669","95"
"65","developers.google.com","1,121,527","95"
"66","slideshare.net","1,005,323","95"
"67","dropbox.com","1,105,626","95"
"68","files.wordpress.com","7,663,367","95"
"69","ok.ru","367,926","95"
"70","globo.com","458,356","95"
"71","nytimes.com","2,197,297","95"
"72","dailymotion.com","1,133,471","95"
"73","google.es","479,347","95"
"74","www.yahoo.com","1,349,409","95"
"75","theguardian.com","1,591,052","95"
"76","es.wikipedia.org","971,231","95"
"77","gstatic.com","631,200","95"
"78","line.me","952,542","95"
"79","w3.org","1,131,464","95"
"80","google.it","441,636","94"
"81","domainmarket.com","1,043,461","94"
"82","telegram.me","397,917","94"
"83","cdc.gov","917,436","94"
"84","aliexpress.com","525,272","94"
"85","hugedomains.com","16,599,320","94"
"86","photos.google.com","277,858","94"
"87","fandom.com","641,509","94"
"88","tinyurl.com","1,453,057","94"
"89","foxnews.com","597,960","94"
"90","researchgate.net","743,408","94"
"91","list-manage.com","791,607","94"
"92","t.co","2,195,473","94"
"93","amazon.co.jp","872,686","94"
"94","pixabay.com","488,564","94"
"95","instagram.com","28,022,547","94"
"96","www.gov.uk","644,790","94"
"97","amazon.co.uk","796,925","94"
"98","un.org","621,025","94"
"99","estadao.com.br","136,186","94"
"100","amazon.de","562,419","94"
"101","4shared.com","561,828","94"
"102","tiktok.com","879,262","94"
"103","samsung.com","410,232","94"
"104","businessinsider.com","871,953","94"
"105","independent.co.uk","781,031","94"
"106","google.pl","197,225","94"
"107","soundcloud.com","1,850,425","94"
"108","wikia.com","507,805","94"
"109","fb.com","470,772","94"
"110","get.google.com","639,268","94"
"111","bloomberg.com","876,491","94"
"112","twitter.com","59,850,009","94"
"113","ig.com.br","158,006","94"
"114","issuu.com","1,007,630","94"
"115","news.yahoo.com","698,563","94"
"116","de.wikipedia.org","679,132","94"
"117","bing.com","1,031,501","94"
"118","wa.me","1,483,215","94"
"119","bit.ly","5,022,633","94"
"120","abril.com.br","275,157","94"
"121","indiatimes.com","495,521","94"
"122","myaccount.google.com","363,400","94"
"123","dailymail.co.uk","1,136,266","94"
"124","huffingtonpost.com","1,080,271","94"
"125","usatoday.com","885,182","94"
"126","scribd.com","773,158","94"
"127","huffpost.com","1,216,312","94"
"128","storage.googleapis.com","979,422","94"
"129","shutterstock.com","545,658","94"
"130","nature.com","639,398","94"
"131","abc.es","208,809","94"
"132","ytimg.com","996,599","94"
"133","bbc.com","916,462","94"
"134","ft.com","515,067","94"
"135","picasaweb.google.com","630,241","94"
"136","dan.com","3,484,672","94"
"137","afternic.com","3,168,586","94"
"138","webmd.com","838,797","94"
"139","booking.com","415,945","94"
"140","reuters.com","952,543","94"
"141","archive.org","1,221,387","94"
"142","myspace.com","1,374,496","94"
"143","terra.com.br","200,142","94"
"144","cnet.com","754,833","94"
"145","nasa.gov","692,744","94"
"146","goo.gl","4,827,646","94"
"147","google.co.uk","602,771","94"
"148","forms.gle","816,018","94"
"149","aboutads.info","653,876","94"
"150","namecheap.com","1,131,254","94"
"151","thesun.co.uk","430,302","94"
"152","plesk.com","700,800","94"
"153","time.com","845,621","94"
"154","youronlinechoices.com","579,984","94"
"155","planalto.gov.br","121,757","94"
"156","mail.ru","484,437","94"
"157","office.com","667,012","94"
"158","hatena.ne.jp","1,554,019","94"
"159","cpanel.net","1,857,444","94"
"160","wsj.com","994,685","94"
"161","marketingplatform.google....","890,760","94"
"162","imageshack.us","815,937","94"
"163","telegraph.co.uk","1,010,331","94"
"164","pinterest.com","8,699,545","94"
"165","change.org","506,251","94"
"166","ru.wikipedia.org","379,406","94"
"167","networkadvertising.org","760,690","94"
"168","yadi.sk","155,562","94"
"169","amazon.es","195,388","94"
"170","elpais.com","433,324","94"
"171","google.fr","415,016","94"
"172","mediafire.com","867,943","94"
"173","cbsnews.com","698,014","94"
"174","washingtonpost.com","1,184,002","94"
"175","wp.com","2,175,957","94"
"176","mirror.co.uk","426,219","94"
"177","mail.google.com","495,856","94"
"178","francetvinfo.fr","179,050","93"
"179","ria.ru","198,490","93"
"180","it.wikipedia.org","343,297","93"
"181","guardian.co.uk","606,822","93"
"182","gnu.org","589,702","93"
"183","tmz.com","240,057","93"
"184","m.wikipedia.org","337,930","93"
"185","www.wix.com","745,771","93"
"186","oup.com","434,767","93"
"187","bandcamp.com","629,488","93"
"188","ssl-images-amazon.com","582,534","93"
"189","lemonde.fr","277,688","93"
"190","ietf.org","398,075","93"
"191","nginx.org","876,870","93"
"192","yelp.com","961,722","93"
"193","walmart.com","368,002","93"
"194","abc.net.au","425,627","93"
"195","amazon.fr","260,594","93"
"196","search.yahoo.com","486,209","93"
"197","hp.com","494,418","93"
"198","liveinternet.ru","349,508","93"
"199","secureserver.net","1,028,264","93"
"200","berkeley.edu","510,230","93"
"201","photos1.blogger.com","885,685","93"
"202","dreamstime.com","447,574","93"
"203","addthis.com","656,538","93"
"204","disqus.com","941,914","93"
"205","discord.gg","387,505","93"
"206","cointernet.com.co","626,574","93"
"207","clickbank.net","477,416","93"
"208","hollywoodreporter.com","309,079","93"
"209","biglobe.ne.jp","248,609","93"
"210","abcnews.go.com","593,479","93"
"211","blog.fc2.com","386,539","93"
"212","ebay.com","961,615","93"
"213","zoom.us","672,204","93"
"214","techcrunch.com","530,364","93"
"215","ftc.gov","305,289","93"
"216","buzzfeed.com","634,635","93"
"217","britannica.com","542,065","93"
"218","dynadot.com","892,509","93"
"219","amzn.to","992,153","93"
"220","yahoo.co.jp","668,901","93"
"221","thenai.org","515,987","93"
"222","ovhcloud.com","560,012","93"
"223","smh.com.au","323,149","93"
"224","ja.wikipedia.org","373,213","93"
"225","radiofrance.fr","131,428","93"
"226","ibm.com","529,674","93"
"227","express.co.uk","393,428","93"
"228","nicovideo.jp","163,712","93"
"229","npr.org","876,702","93"
"230","evernote.com","333,249","93"
"231","php.net","665,654","93"
"232","kickstarter.com","494,737","93"
"233","newsweek.com","411,954","93"
"234","ovh.net","556,144","93"
"235","economist.com","397,531","93"
"236","google.nl","260,196","93"
"237","offset.com","1,731,005","93"
"238","plos.org","324,126","93"
"239","netflix.com","384,429","93"
"240","rakuten.co.jp","654,399","93"
"241","bloglovin.com","556,690","93"
"242","aol.com","685,625","93"
"243","huawei.com","1,958,900","93"
"244","imageshack.com","461,195","93"
"245","themeforest.net","539,631","93"
"246","canada.ca","285,179","93"
"247","picasa.google.com","258,034","93"
"248","zdf.de","146,645","93"
"249","latimes.com","745,881","93"
"250","akamaihd.net","596,337","93"
"251","steampowered.com","299,032","93"
"252","lefigaro.fr","231,153","93"
"253","outlook.com","397,364","93"
"254","usnews.com","475,057","93"
"255","mega.nz","194,416","93"
"256","fb.me","345,192","93"
"257","instructables.com","361,838","93"
"258","ouest-france.fr","127,849","93"
"259","alibaba.com","410,801","93"
"260","arxiv.org","264,073","93"
"261","deezer.com","170,086","93"
"262","engadget.com","452,859","93"
"263","ipv4.google.com","333,926","93"
"264","whitehouse.gov","415,132","93"
"265","books.google.com","447,895","93"
"266","leparisien.fr","147,685","93"
"267","pbs.org","554,545","93"
"268","groups.google.com","369,622","93"
"269","hubspot.com","352,458","93"
"270","sciencemag.org","323,642","93"
"271","ovh.com","560,782","93"
"272","privacyshield.gov","433,970","93"
"273","sciencedirect.com","691,700","93"
"274","pl.wikipedia.org","151,574","93"
"275","sakura.ne.jp","402,162","93"
"276","android.com","321,067","93"
"277","discord.com","429,430","93"
"278","skype.com","441,742","93"
"279","unesco.org","350,115","93"
"280","vkontakte.ru","352,941","93"
"281","akamaized.net","341,488","93"
"282","nbcnews.com","711,552","93"
"283","playstation.com","257,636","93"
"284","nydailynews.com","398,860","93"
"285","welt.de","273,410","93"
"286","ggpht.com","792,278","93"
"287","windows.net","432,726","93"
"288","mit.edu","731,700","93"
"289","disney.com","257,609","93"
"290","eventbrite.com","666,676","93"
"291","ted.com","647,603","93"
"292","wired.com","702,569","93"
"293","wikihow.com","643,946","93"
"294","yandex.ru","1,036,563","93"
"295","stanford.edu","660,089","93"
"296","rambler.ru","949,090","93"
"297","dw.com","410,082","93"
"298","linktr.ee","491,525","93"
"299","twitch.tv","488,664","93"
"300","id.wikipedia.org","553,297","93"
"301","google.ru","201,927","93"
"302","psychologytoday.com","400,309","93"
"303","pexels.com","360,303","93"
"304","detik.com","430,722","93"
"305","academia.edu","408,066","93"
"306","addtoany.com","706,878","93"
"307","code.google.com","324,226","93"
"308","unsplash.com","634,083","93"
"309","quora.com","468,336","93"
"310","gmail.com","215,796","93"
"311","gizmodo.com","414,257","93"
"312","surveymonkey.com","454,779","93"
"313","webnode.page","518,453","93"
"314","thetimes.co.uk","429,984","93"
"315","apache.org","1,018,975","93"
"316","weibo.com","1,396,857","93"
"317","tripadvisor.com","756,579","93"
"318","xing.com","502,313","93"
"319","nypost.com","443,683","93"
"320","amazonaws.com","350,686","93"
"321","oracle.com","616,989","93"
"322","mozilla.com","209,641","93"
"323","newyorker.com","443,497","93"
"324","rtve.es","193,572","93"
"325","lavanguardia.com","157,083","93"
"326","zippyshare.com","190,994","93"
"327","wiktionary.org","327,851","93"
"328","freepik.com","359,608","93"
"329","standard.co.uk","268,952","93"
"330","wiley.com","657,236","93"
"331","bp2.blogger.com","558,967","93"
"332","google.co.in","282,210","93"
"333","www.wikipedia.org","555,633","93"
"334","nginx.com","789,332","93"
"335","cnil.fr","232,221","93"
"336","rt.com","321,833","93"
"337","netlify.app","408,612","93"
"338","cbc.ca","506,300","93"
"339","yandex.com","1,544,221","93"
"340","spotify.com","1,591,422","93"
"341","sapo.pt","234,735","93"
"342","sfgate.com","395,475","93"
"343","redbull.com","168,503","93"
"344","gooyaabitemplates.com","547,160","93"
"345","ca.gov","555,186","93"
"346","target.com","307,710","93"
"347","vice.com","418,837","93"
"348","adssettings.google.com","422,530","93"
"349","alexa.com","316,079","93"
"350","www.livejournal.com","3,026,699","93"
"351","nationalgeographic.com","646,428","93"
"352","pinterest.fr","129,594","93"
"353","cnbc.com","595,821","93"
"354","zendesk.com","529,870","93"
"355","spiegel.de","373,669","93"
"356","xbox.com","205,874","93"
"357","cpanel.com","1,013,304","93"
"358","godaddy.com","2,559,303","93"
"359","icann.org","662,398","93"
"360","gofundme.com","362,120","93"
"361","cornell.edu","477,973","93"
"362","naver.com","532,711","93"
"363","translate.google.com","298,052","93"
"364","ziddu.com","191,843","93"
"365","sedo.com","3,208,431","93"
"366","amazon.it","160,737","93"
"367","mashable.com","451,087","93"
"368","rapidshare.com","289,267","93"
"369","timeweb.ru","626,585","93"
"370","sendspace.com","152,981","93"
"371","sciencedaily.com","377,791","93"
"372","insider.com","390,596","93"
"373","harvard.edu","792,140","93"
"374","lexpress.fr","121,490","93"
"375","sputniknews.com","191,845","93"
"376","www.gov.br","168,471","93"
"377","e-monsite.com","147,197","93"
"378","googleblog.com","270,407","93"
"379","finance.yahoo.com","503,001","93"
"380","theatlantic.com","590,430","93"
"381","doi.org","552,863","93"
"382","goodreads.com","923,247","93"
"383","elmundo.es","243,847","93"
"384","hindustantimes.com","250,804","93"
"385","metro.co.uk","284,505","93"
"386","xinhuanet.com","588,831","93"
"387","20minutos.es","179,577","93"
"388","alicdn.com","551,653","93"
"389","clarin.com","148,204","93"
"390","theverge.com","424,277","93"
"391","about.com","746,071","93"
"392","photobucket.com","1,755,927","93"
"393","www.canalblog.com","411,249","93"
"394","prezi.com","334,789","93"
"395","www.over-blog.com","813,502","93"
"396","espn.com","404,384","93"
"397","nikkei.com","255,041","93"
"398","statista.com","384,841","93"
"399","springer.com","533,104","93"
"400","google.ca","344,376","93"
"401","qq.com","4,225,301","93"
"402","doubleclick.net","587,309","93"
"403","cambridge.org","367,679","93"
"404","ea.com","225,573","93"
"405","ikea.com","376,672","93"
"406","reg.ru","473,141","93"
"407","dictionary.com","359,080","92"
"408","allaboutcookies.org","431,365","92"
"409","epa.gov","377,651","92"
"410","corriere.it","185,643","92"
"411","lycos.com","685,033","92"
"412","airbnb.com","234,208","92"
"413","politico.com","301,028","92"
"414","mysql.com","428,630","92"
"415","orange.fr","178,975","92"
"416","oecd.org","221,969","92"
"417","fbsbx.com","581,372","92"
"418","pnas.org","249,850","92"
"419","geocities.com","552,018","92"
"420","getbootstrap.com","219,679","92"
"421","asus.com","174,169","92"
"422","focus.de","163,781","92"
"423","techradar.com","202,283","92"
"424","ameblo.jp","738,286","92"
"425","kompas.com","306,568","92"
"426","merriam-webster.com","332,859","92"
"427","megaupload.com","257,299","92"
"428","fortune.com","306,865","92"
"429","variety.com","320,219","92"
"430","wisc.edu","315,696","92"
"431","thefreedictionary.com","270,323","92"
"432","viglink.com","400,168","92"
"433","giphy.com","459,013","92"
"434","pcmag.com","308,427","92"
"435","scholastic.com","198,677","92"
"436","usgs.gov","248,223","92"
"437","storage.canalblog.com","315,393","92"
"438","ovh.co.uk","384,768","92"
"439","washington.edu","383,471","92"
"440","worldbank.org","300,684","92"
"441","debian.org","417,424","92"
"442","home.neustar","395,564","92"
"443","amazon.ca","245,960","92"
"444","tinypic.com","645,357","92"
"445","teamviewer.com","166,438","92"
"446","bp1.blogger.com","558,378","92"
"447","google.co.id","198,593","92"
"448","archives.gov","280,584","92"
"449","public-api.wordpress.com","192,001","92"
"450","cbslocal.com","324,099","92"
"451","ads.google.com","160,363","92"
"452","intel.com","261,784","92"
"453","fifa.com","197,167","92"
"454","cutt.ly","183,277","92"
"455","rollingstone.com","364,302","92"
"456","itmedia.co.jp","123,575","92"
"457","telegra.ph","312,468","92"
"458","marketwatch.com","391,808","92"
"459","history.com","301,456","92"
"460","inc.com","284,192","92"
"461","channel4.com","171,528","92"
"462","excite.co.jp","496,841","92"
"463","stuff.co.nz","195,434","92"
"464","reverbnation.com","217,620","92"
"465","slate.com","401,285","92"
"466","noaa.gov","347,685","92"
"467","amazon.in","215,906","92"
"468","woocommerce.com","214,884","92"
"469","rottentomatoes.com","261,963","92"
"470","liberation.fr","129,137","92"
"471","prnewswire.com","473,074","92"
"472","fastcompany.com","339,673","92"
"473","thestar.com","247,050","92"
"474","wordreference.com","131,265","92"
"475","ox.ac.uk","289,443","92"
"476","rbc.ru","131,195","92"
"477","kotaku.com","149,204","92"
"478","vox.com","480,132","92"
"479","onamae.com","141,150","92"
"480","narod.ru","272,494","92"
"481","barnesandnoble.com","405,003","92"
"482","theglobeandmail.com","270,840","92"
"483","java.com","151,971","92"
"484","frontiersin.org","247,177","92"
"485","theconversation.com","355,460","92"
"486","nl.wikipedia.org","175,725","92"
"487","usda.gov","428,034","92"
"488","m.me","250,280","92"
"489","mailchimp.com","401,831","92"
"490","feedproxy.google.com","740,602","92"
"491","asahi.com","202,450","92"
"492","unam.mx","157,547","92"
"493","espn.go.com","254,076","92"
"494","123rf.com","257,909","92"
"495","thehill.com","245,964","92"
"496","bfmtv.com","133,368","92"
"497","ubuntu.com","243,520","92"
"498","wallpapers.com","177,609","92"
"499","a8.net","466,917","92"
"500","deloitte.com","228,953","92"
